web1,web2,web3,mode,n,c,requests_per_sec,time_per_req,scenario
167,167,166,round_robin,500,10,1556.78,6.424,normal
10,9,10,round_robin,500,10,0.0,0.0,falha
333,334,333,round_robin,1000,50,1635.06,30.58,normal
50,49,50,round_robin,1000,50,0.0,0.0,falha
171,173,156,least_conn,500,10,1619.85,6.173,normal
4,247,249,least_conn,500,10,0.0,0.0,falha
330,328,342,least_conn,1000,50,1681.96,29.727,normal
1,0,0,least_conn,1000,50,0.0,0.0,falha
0,0,500,ip_hash,500,10,951.05,10.515,normal
0,0,500,ip_hash,500,10,971.46,10.294,falha
0,0,1000,ip_hash,1000,50,972.63,51.407,normal
0,0,1000,ip_hash,1000,50,948.59,52.71,falha
